Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Australia,Consumer Confidence,1981-03-31T00:00:00,111.58,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1981-04-30T00:00:00,106.69,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1981-05-31T00:00:00,101.8,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1981-06-30T00:00:00,100.68,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1981-07-31T00:00:00,95,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1981-08-31T00:00:00,92.44,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1981-09-30T00:00:00,95.26,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1981-10-31T00:00:00,98.08,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1981-11-30T00:00:00,98.3,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1981-12-31T00:00:00,95.42,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1982-01-31T00:00:00,90.59,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1982-02-28T00:00:00,92.19,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1982-03-31T00:00:00,91.84,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1982-04-30T00:00:00,93.58,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1982-05-31T00:00:00,93.01,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1982-06-30T00:00:00,92.44,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1982-07-31T00:00:00,80.24,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1982-08-31T00:00:00,84.58,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1982-09-30T00:00:00,82.73,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1982-10-31T00:00:00,80.88,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1982-11-30T00:00:00,75.5,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1982-12-31T00:00:00,81.69,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1983-01-31T00:00:00,85.76,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1983-02-28T00:00:00,92.68,Monthly,WMCCCONPCT,2017-02-16T12:07:00
