market_name,county,cases,cases_l14,cases_l21,cases_l28,cases_l7,deaths,deaths_l14,deaths_l21,deaths_l28,deaths_l7,case_mortality,case_mortality_l7,cases_v_l7,cases_v_l7_perc,deaths_v_l7,deaths_v_l7_perc,case_mortality_v_l7,case_mortality_v_l7_perc,case_mortality_l14,cases_v_l14,cases_v_l14_perc,deaths_v_l14,deaths_v_l14_perc,case_mortality_v_l14,case_mortality_v_l14_perc,case_mortality_l21,cases_v_l21,cases_v_l21_perc,deaths_v_l21,deaths_v_l21_perc,case_mortality_v_l21,case_mortality_v_l21_perc,case_mortality_l28,cases_v_l28,cases_v_l28_perc,deaths_v_l28,deaths_v_l28_perc,case_mortality_v_l28,case_mortality_v_l28_perc,state,region,division,population,last_updated
Texas,Gaines,1412,1409,1394,1382,1411,41.0,39.0,38.0,36.0,40.0,0.02903682719546742,0.028348688873139617,1,0.0007087172218285254,1.0,0.02499999999999991,0.0006881383223278047,0.024274079320113273,0.027679205110007096,3,0.002129169623846794,2.0,0.05128205128205132,0.0013576220854603256,0.049048449190092214,0.027259684361549498,18,0.012912482065997155,3.0,0.07894736842105265,0.0017771428339179232,0.06519308185477857,0.02604920405209841,30,0.02170767004341534,5.0,0.13888888888888884,0.002987623143369013,0.11469153289266609,TX,South,West South Central,21492.0,2021-02-28
Texas,Galveston,34591,33142,32106,30529,33666,341.0,321.0,301.0,290.0,331.0,0.009858055563585905,0.009831877858967504,925,0.0274757915998336,10.0,0.030211480362537735,2.6177704618400577e-05,0.002662533545870316,0.009685595317120271,1449,0.04372095830064571,20.0,0.06230529595015577,0.00017246024646563364,0.017805848873408303,0.009375194667663365,2485,0.07739986295396495,40.0,0.13289036544850497,0.00048286089592253917,0.051504092772388876,0.00949916472861869,4062,0.13305381768154878,51.0,0.17586206896551726,0.000358890834967214,0.03778130448522088,TX,South,West South Central,342139.0,2021-02-28
Texas,Garza,366,351,320,309,363,19.0,19.0,18.0,18.0,19.0,0.05191256830601093,0.05234159779614325,3,0.008264462809917328,0.0,0.0,-0.00042902949013232106,-0.008196721311475419,0.05413105413105413,15,0.042735042735042805,0.0,0.0,-0.0022184858250431996,-0.040983606557376984,0.05625,46,0.14375000000000004,1.0,0.05555555555555558,-0.00433743169398907,-0.07710989678202795,0.05825242718446602,57,0.18446601941747565,1.0,0.05555555555555558,-0.00633985887845509,-0.10883424408014575,TX,South,West South Central,6229.0,2021-02-28
Texas,Gillespie,2426,2298,2244,2163,2298,48.0,46.0,43.0,42.0,46.0,0.01978565539983512,0.020017406440382943,128,0.05570060922541331,2.0,0.04347826086956519,-0.0002317510405478243,-0.011577475895193534,0.020017406440382943,128,0.05570060922541331,2.0,0.04347826086956519,-0.0002317510405478243,-0.011577475895193534,0.019162210338680926,182,0.08110516934046341,5.0,0.11627906976744184,0.0006234450611541931,0.032535132958837476,0.019417475728155338,263,0.12159038372630615,6.0,0.1428571428571428,0.00036817967167978097,0.018961253091508645,TX,South,West South Central,26988.0,2021-02-28
Texas,Glasscock,98,100,100,107,97,2.0,2.0,2.0,2.0,2.0,0.02040816326530612,0.020618556701030927,1,0.010309278350515427,0.0,0.0,-0.00021039343572480662,-0.010204081632653073,0.02,-2,-0.020000000000000018,0.0,0.0,0.0004081632653061204,0.020408163265305923,0.02,-2,-0.020000000000000018,0.0,0.0,0.0004081632653061204,0.020408163265305923,0.018691588785046728,-9,-0.08411214953271029,0.0,0.0,0.0017165744802593932,0.09183673469387754,TX,South,West South Central,1409.0,2021-02-28
Texas,Goliad,405,405,387,362,405,13.0,12.0,12.0,9.0,13.0,0.03209876543209877,0.03209876543209877,0,0.0,0.0,0.0,0.0,0.0,0.02962962962962963,0,0.0,1.0,0.08333333333333326,0.002469135802469137,0.08333333333333348,0.031007751937984496,18,0.04651162790697683,1.0,0.08333333333333326,0.0010910134941142721,0.03518518518518521,0.024861878453038673,43,0.1187845303867403,4.0,0.4444444444444444,0.007236886979060095,0.29108367626886156,TX,South,West South Central,7658.0,2021-02-28
Texas,Gonzales,2610,2478,2421,2334,2480,51.0,46.0,43.0,37.0,48.0,0.01954022988505747,0.01935483870967742,130,0.05241935483870974,3.0,0.0625,0.0001853911753800508,0.00957854406130254,0.018563357546408393,132,0.0532687651331718,5.0,0.10869565217391308,0.0009768723386490777,0.05262368815592211,0.017761255679471292,189,0.07806691449814118,8.0,0.18604651162790709,0.0017789742055861792,0.10016038492381729,0.015852613538988862,276,0.11825192802056561,14.0,0.3783783783783783,0.003687616346068609,0.23261882572227388,TX,South,West South Central,20837.0,2021-02-28
Texas,Gray,1974,1939,1880,1853,1955,53.0,49.0,48.0,47.0,50.0,0.02684903748733536,0.02557544757033248,19,0.009718670076726443,3.0,0.06000000000000005,0.0012735899170028785,0.04979736575481253,0.02527075812274368,35,0.018050541516245522,4.0,0.08163265306122458,0.0015782793645916782,0.06245476914169923,0.02553191489361702,94,0.050000000000000044,5.0,0.10416666666666674,0.0013171225937183388,0.051587301587301626,0.025364274150026983,121,0.06529951430113323,6.0,0.12765957446808507,0.0014847633373083757,0.058537584341115334,TX,South,West South Central,21886.0,2021-02-28
Texas,Grayson,10788,10453,10112,9728,10630,310.0,296.0,275.0,259.0,302.0,0.028735632183908046,0.028410159924741298,158,0.014863593603010372,8.0,0.026490066225165476,0.00032547225916674735,0.011456192433584533,0.02831722950349182,335,0.032048215823208714,14.0,0.04729729729729737,0.0004184026804162251,0.014775551413482413,0.027195411392405063,676,0.06685126582278489,35.0,0.1272727272727272,0.001540220791502983,0.05663531870428429,0.026624177631578948,1060,0.10896381578947367,51.0,0.19691119691119696,0.002111454552329098,0.07930590689211381,TX,South,West South Central,136212.0,2021-02-28
Texas,Gregg,10669,10449,10082,9724,10561,308.0,289.0,274.0,255.0,293.0,0.028868684975161683,0.027743584887794718,108,0.010226304327241698,15.0,0.05119453924914685,0.0011251000873669648,0.04055352226171505,0.02765814910517753,220,0.02105464637764376,19.0,0.0657439446366781,0.0012105358699841529,0.04376778306389073,0.027177147391390596,587,0.058222574885935297,34.0,0.12408759124087587,0.001691537583771087,0.0622411748889784,0.026223776223776224,945,0.09718222953517075,53.0,0.2078431372549019,0.0026449087513854587,0.10085918705283214,TX,South,West South Central,123945.0,2021-02-28
Texas,Grimes,3420,3315,3233,1958,3365,62.0,59.0,58.0,55.0,60.0,0.018128654970760234,0.017830609212481426,55,0.01634472511144125,2.0,0.03333333333333344,0.00029804575827880805,0.016715399610136572,0.01779788838612368,105,0.03167420814479649,3.0,0.05084745762711873,0.00033076658463655415,0.018584597085935295,0.017939993813795237,187,0.05784101453758117,4.0,0.06896551724137923,0.00018866115696499625,0.010516233111514284,0.028089887640449437,1462,0.7466802860061288,7.0,0.1272727272727272,-0.009961232669689204,-0.3546198830409356,TX,South,West South Central,28880.0,2021-02-28
Texas,Guadalupe,13309,12541,12116,11465,12571,188.0,178.0,162.0,152.0,182.0,0.014125779547674506,0.014477766287487074,738,0.05870654681409593,6.0,0.03296703296703307,-0.0003519867398125674,-0.024312226957053817,0.014193445498764053,768,0.06123913563511674,10.0,0.05617977528089879,-6.766595108954714e-05,-0.004767408385471961,0.013370749422251568,1193,0.09846483988114896,26.0,0.16049382716049387,0.0007550301254229379,0.056468796293977164,0.013257740950719582,1844,0.16083733100741382,36.0,0.23684210526315796,0.0008680385969549245,0.06547409548742245,TX,South,West South Central,166847.0,2021-02-28
Texas,Hale,6034,5990,5934,5858,6012,152.0,150.0,150.0,146.0,151.0,0.02519058667550547,0.02511643379906853,22,0.003659347970725202,1.0,0.0066225165562914245,7.415287643693785e-05,0.002952364855224321,0.025041736227045076,44,0.007345575959933237,2.0,0.01333333333333342,0.0001488504484603928,0.005944094575184966,0.025278058645096056,100,0.01685203909673061,2.0,0.01333333333333342,-8.747196959058706e-05,-0.0034603911170035806,0.024923181973369752,176,0.03004438374871965,6.0,0.041095890410958846,0.0002674047021357165,0.010729155788431699,TX,South,West South Central,33406.0,2021-02-28
Texas,Hall,422,416,390,379,419,14.0,14.0,14.0,13.0,14.0,0.03317535545023697,0.03341288782816229,3,0.007159904534606243,0.0,0.0,-0.00023753237792532161,-0.0071090047393364,0.03365384615384615,6,0.014423076923076872,0.0,0.0,-0.0004784907036091829,-0.01421800947867291,0.035897435897435895,32,0.08205128205128198,0.0,0.0,-0.0027220804471989254,-0.07582938388625582,0.03430079155672823,43,0.11345646437994716,1.0,0.07692307692307687,-0.0011254361064912607,-0.03281079110462981,TX,South,West South Central,2964.0,2021-02-28
Texas,Hamilton,739,733,717,592,737,25.0,24.0,23.0,23.0,24.0,0.03382949932341001,0.032564450474898234,2,0.0027137042062415073,1.0,0.04166666666666674,0.0012650488485117795,0.03884754172304916,0.03274215552523874,6,0.008185538881309684,1.0,0.04166666666666674,0.0010873437981712697,0.033209291835814225,0.03207810320781032,22,0.030683403068340276,2.0,0.08695652173913038,0.0017513961155996918,0.054597870212390376,0.03885135135135135,147,0.24831081081081074,2.0,0.08695652173913038,-0.005021852027941337,-0.12925810437135965,TX,South,West South Central,8461.0,2021-02-28
Texas,Hansford,811,789,746,732,809,20.0,19.0,18.0,18.0,19.0,0.02466091245376079,0.023485784919653894,2,0.0024721878862794533,1.0,0.05263157894736836,0.0011751275341068956,0.05003569342591985,0.024081115335868188,22,0.027883396704689423,1.0,0.05263157894736836,0.0005797971178926019,0.024076838211434914,0.024128686327077747,65,0.08713136729222515,2.0,0.11111111111111116,0.0005322261266830428,0.022057816139197328,0.02459016393442623,79,0.10792349726775963,2.0,0.11111111111111116,7.074851933456042e-05,0.0028771064529387047,TX,South,West South Central,5399.0,2021-02-28
Texas,Hardeman,366,362,347,339,363,12.0,12.0,12.0,12.0,12.0,0.03278688524590164,0.03305785123966942,3,0.008264462809917328,0.0,0.0,-0.00027096599376778135,-0.008196721311475419,0.03314917127071823,4,0.011049723756906049,0.0,0.0,-0.0003622860248165896,-0.010928961748633781,0.0345821325648415,19,0.05475504322766578,0.0,0.0,-0.0017952473189398604,-0.05191256830601099,0.035398230088495575,27,0.07964601769911495,0.0,0.0,-0.0026113448425939337,-0.07377049180327866,TX,South,West South Central,3933.0,2021-02-28
Texas,Hardin,4885,4747,4449,4390,4774,94.0,89.0,83.0,79.0,89.0,0.01924257932446264,0.01864264767490574,111,0.02325094260578142,5.0,0.05617977528089879,0.0005999316495568993,0.032180603314434064,0.018748683378976196,138,0.029070992205603607,5.0,0.05617977528089879,0.0004938959454864437,0.026342966890158914,0.018655877725331536,436,0.0979995504607778,11.0,0.1325301204819278,0.0005867015991311043,0.03144861945222033,0.017995444191343964,495,0.11275626423690199,15.0,0.1898734177215189,0.0012471351331186757,0.0693028257517847,TX,South,West South Central,57602.0,2021-02-28
Texas,Harris,350201,337012,328426,317654,342309,5075.0,4753.0,4506.0,4257.0,4851.0,0.014491677636557291,0.014171406536199749,7892,0.02305519282285884,224.0,0.04617604617604609,0.00032027110035754217,0.02259981036740677,0.014103355370135188,13189,0.03913510498142503,322.0,0.06774668630338732,0.0003883222664221031,0.027534034010403108,0.013719985628421623,21775,0.06630108456699535,569.0,0.12627607634265425,0.0007716920081356684,0.05624583210474143,0.0134013738218313,32547,0.10246053882526263,818.0,0.19215409913084325,0.0010903038147259906,0.08135761521328866,TX,South,West South Central,4713325.0,2021-02-28
Texas,Harrison,4557,4432,4289,4031,4508,93.0,90.0,85.0,81.0,90.0,0.02040816326530612,0.019964507542147295,49,0.010869565217391353,3.0,0.03333333333333344,0.0004436557231588256,0.022222222222222143,0.020306859205776174,125,0.02820397111913353,3.0,0.03333333333333344,0.00010130405952994692,0.0049886621315191615,0.01981813942643973,268,0.06248542783865707,8.0,0.09411764705882364,0.0005900238388663916,0.029771908763505328,0.02009426941205656,526,0.1304887124782932,12.0,0.14814814814814814,0.0003138938532495604,0.01562106324011081,TX,South,West South Central,66553.0,2021-02-28
Texas,Hartley,473,412,409,381,434,2.0,2.0,2.0,2.0,2.0,0.004228329809725159,0.004608294930875576,39,0.08986175115207384,0.0,0.0,-0.0003799651211504173,-0.08245243128964053,0.0048543689320388345,61,0.1480582524271845,0.0,0.0,-0.0006260391223136758,-0.12896405919661724,0.004889975550122249,64,0.15647921760391204,0.0,0.0,-0.0006616457403970906,-0.13530655391120505,0.005249343832020997,92,0.24146981627296582,0.0,0.0,-0.0010210140222958386,-0.19450317124735728,TX,South,West South Central,5576.0,2021-02-28
Texas,Haskell,432,424,420,400,427,22.0,21.0,20.0,19.0,21.0,0.05092592592592592,0.04918032786885246,5,0.011709601873536313,1.0,0.04761904761904767,0.001745598057073465,0.035493827160493874,0.049528301886792456,8,0.018867924528301883,1.0,0.04761904761904767,0.0013976240391334674,0.02821869488536133,0.047619047619047616,12,0.02857142857142847,2.0,0.10000000000000009,0.0033068783068783067,0.06944444444444442,0.0475,32,0.08000000000000007,3.0,0.1578947368421053,0.0034259259259259225,0.07212475633528248,TX,South,West South Central,5658.0,2021-02-28
Texas,Hays,18059,17598,17121,16383,17598,213.0,202.0,198.0,186.0,202.0,0.011794673016224597,0.011478577111035344,461,0.02619615865439262,11.0,0.054455445544554504,0.0003160959051892523,0.02753789970059639,0.011478577111035344,461,0.02619615865439262,11.0,0.054455445544554504,0.0003160959051892523,0.02753789970059639,0.011564745049938673,938,0.05478651947900248,15.0,0.07575757575757569,0.0002299279662859241,0.01988180156960251,0.011353232008789599,1676,0.10230116584264182,27.0,0.14516129032258074,0.0004414410074349978,0.03888240873552462,TX,South,West South Central,230191.0,2021-02-28
Texas,Hemphill,545,542,532,526,544,2.0,2.0,2.0,2.0,2.0,0.003669724770642202,0.003676470588235294,1,0.0018382352941177516,0.0,0.0,-6.745817593092028e-06,-0.0018348623853210455,0.0036900369003690036,3,0.005535055350553542,0.0,0.0,-2.0312129726801544e-05,-0.0055045871559632475,0.0037593984962406013,13,0.02443609022556381,0.0,0.0,-8.967372559839926e-05,-0.023853211009174258,0.0038022813688212928,19,0.03612167300380231,0.0,0.0,-0.00013255659817909072,-0.034862385321100864,TX,South,West South Central,3819.0,2021-02-28
Texas,Henderson,5548,5355,5151,4905,5448,158.0,147.0,138.0,128.0,148.0,0.028478731074260993,0.027165932452276064,100,0.018355359765051427,10.0,0.06756756756756754,0.0013127986219849293,0.0483251817065804,0.027450980392156862,193,0.03604108309990672,11.0,0.0748299319727892,0.001027750682104131,0.03743948913379325,0.026790914385556204,397,0.0770724131236653,20.0,0.14492753623188404,0.0016878166887047893,0.06299959248926346,0.026095820591233436,643,0.13109072375127417,30.0,0.234375,0.0023829104830275574,0.09131387436914196,TX,South,West South Central,82737.0,2021-02-28
Texas,Hidalgo,76684,70992,67570,63551,72723,2629.0,2549.0,2489.0,2427.0,2584.0,0.034283553283605446,0.03553208751014122,3961,0.054466949933308584,45.0,0.01741486068111464,-0.0012485342265357718,-0.035138217707569974,0.03590545413567726,5692,0.08017804823078656,80.0,0.031384856806590866,-0.0016219008520718114,-0.04517143400952606,0.03683587390853929,9114,0.13488234423560752,140.0,0.056247488951386204,-0.0025523206249338445,-0.06928899342176775,0.038189800317854954,13133,0.2066529244229045,202.0,0.08323032550473841,-0.0039062470342495076,-0.1022850866393038,TX,South,West South Central,868707.0,2021-02-28
Texas,Hill,4301,4220,4131,2502,4282,94.0,85.0,71.0,62.0,89.0,0.02185538246919321,0.020784680056048575,19,0.004437178888369919,5.0,0.05617977528089879,0.0010707024131446363,0.05151401947286893,0.02014218009478673,81,0.019194312796208424,9.0,0.10588235294117654,0.001713202374406482,0.08505545905876888,0.01718712176228516,170,0.04115226337448563,23.0,0.323943661971831,0.00466826070690805,0.27161387296108663,0.02478017585931255,1799,0.7190247801758594,32.0,0.5161290322580645,-0.002924793390119338,-0.11802956551739652,TX,South,West South Central,36649.0,2021-02-28
Texas,Hockley,2325,2290,2154,2126,2313,98.0,98.0,97.0,96.0,98.0,0.042150537634408604,0.04236921746649373,12,0.005188067444876765,0.0,0.0,-0.00021867983208512937,-0.005161290322580614,0.04279475982532751,35,0.015283842794759916,0.0,0.0,-0.0006442221909189055,-0.01505376344086018,0.04503249767873723,171,0.07938718662952637,1.0,0.010309278350515427,-0.002881960044328627,-0.06399733954107079,0.045155221072436504,199,0.09360301034807139,2.0,0.02083333333333326,-0.0030046834380278997,-0.0665412186379929,TX,South,West South Central,23021.0,2021-02-28
Texas,Hood,6190,6013,5872,5653,6115,111.0,106.0,103.0,99.0,107.0,0.017932148626817447,0.01749795584627964,75,0.0122649223221587,4.0,0.03738317757009346,0.0004341927805378079,0.024813914513913016,0.017628471644769664,177,0.029436221520039885,5.0,0.04716981132075482,0.0003036769820477826,0.017226506538238873,0.017540871934604903,318,0.0541553133514987,8.0,0.07766990291262132,0.00039127669221254366,0.022306570258951997,0.017512825048646735,537,0.09499380859720508,12.0,0.1212121212121211,0.0004193235781707119,0.02394379987271744,TX,South,West South Central,61643.0,2021-02-28
Texas,Hopkins,2919,2836,2745,2639,2876,101.0,98.0,98.0,93.0,99.0,0.03460089071599863,0.03442280945757997,43,0.014951321279554897,2.0,0.02020202020202011,0.00017808125841865807,0.005173350497091445,0.03455571227080395,83,0.02926657263751764,3.0,0.030612244897959107,4.517844519467962e-05,0.001307408883388872,0.03570127504553734,174,0.06338797814207653,3.0,0.030612244897959107,-0.0011003843295387117,-0.030821989638609826,0.035240621447518,280,0.10610079575596809,8.0,0.08602150537634401,-0.0006397307315193709,-0.01815321935999592,TX,South,West South Central,37084.0,2021-02-28
Texas,Houston,1543,1515,1481,1438,1537,42.0,36.0,35.0,33.0,37.0,0.027219701879455604,0.024072869225764477,6,0.0039037085230968493,5.0,0.1351351351351351,0.0031468326536911277,0.13072112942495306,0.023762376237623763,28,0.018481848184818572,6.0,0.16666666666666674,0.003457325641831842,0.1454957874270899,0.02363268062120189,62,0.04186360567184333,7.0,0.19999999999999996,0.003587021258253713,0.15178224238496418,0.02294853963838665,105,0.07301808066759397,9.0,0.2727272727272727,0.004271162241068955,0.1861191303835501,TX,South,West South Central,22968.0,2021-02-28
Texas,Howard,4490,4457,4430,4400,4469,98.0,95.0,91.0,87.0,95.0,0.02182628062360802,0.021257552025061535,21,0.004699037816066287,3.0,0.03157894736842115,0.0005687285985464842,0.026754190598991867,0.02131478573031187,33,0.007404083464213507,3.0,0.03157894736842115,0.0005114948932961501,0.02399718673074669,0.02054176072234763,60,0.013544018058690765,7.0,0.07692307692307687,0.0012845199012603906,0.06253212266575314,0.01977272727272727,90,0.020454545454545503,11.0,0.12643678160919536,0.0020535533508807477,0.10385787061925611,TX,South,West South Central,36664.0,2021-02-28
Texas,Hudspeth,496,488,471,523,495,11.0,11.0,11.0,9.0,11.0,0.02217741935483871,0.022222222222222223,1,0.002020202020202033,0.0,0.0,-4.4802867383512274e-05,-0.002016129032258007,0.022540983606557378,8,0.016393442622950838,0.0,0.0,-0.000363564251718667,-0.016129032258064502,0.02335456475583864,25,0.05307855626326963,0.0,0.0,-0.0011771454009999287,-0.05040322580645151,0.017208413001912046,-27,-0.05162523900573612,2.0,0.22222222222222232,0.004969006352926665,0.28875448028673834,TX,South,West South Central,4886.0,2021-02-28
Texas,Hunt,5255,5162,5162,4855,5255,142.0,136.0,133.0,126.0,138.0,0.02702188392007612,0.02626070409134158,0,0.0,4.0,0.02898550724637672,0.00076117982873454,0.02898550724637694,0.0263463773731112,93,0.018016272762495067,6.0,0.044117647058823595,0.0006755065469649206,0.025639447025242124,0.02576520728399845,93,0.018016272762495067,9.0,0.06766917293233088,0.001256676636077668,0.04877417139423246,0.025952626158599383,400,0.082389289392379,16.0,0.12698412698412698,0.0010692577614767364,0.04120036850769493,TX,South,West South Central,98594.0,2021-02-28
