Date,Symbols,Ticker,market_name,value,index_perc_change
2018-12-24,^GSPTSE,S&P/TSX Composite index,Canada,13780.2001953125,-0.011137117769282834
2018-12-27,^GSPTSE,S&P/TSX Composite index,Canada,14165.2001953125,0.027938636198548306
2018-12-28,^GSPTSE,S&P/TSX Composite index,Canada,14222.0,0.0040098130562458145
2018-12-31,^GSPTSE,S&P/TSX Composite index,Canada,14322.900390625,0.0070946695700322415
2019-01-02,^GSPTSE,S&P/TSX Composite index,Canada,14347.2001953125,0.001696570109738671
2019-01-03,^GSPTSE,S&P/TSX Composite index,Canada,14212.7998046875,-0.009367708597870616
2019-01-04,^GSPTSE,S&P/TSX Composite index,Canada,14426.599609375,0.01504276480535438
2019-01-07,^GSPTSE,S&P/TSX Composite index,Canada,14504.099609375,0.005372021273095884
2019-01-08,^GSPTSE,S&P/TSX Composite index,Canada,14605.2001953125,0.006970483426089524
2019-01-09,^GSPTSE,S&P/TSX Composite index,Canada,14804.7001953125,0.013659518344981691
2019-01-10,^GSPTSE,S&P/TSX Composite index,Canada,14903.5,0.006673543089969591
2019-01-11,^GSPTSE,S&P/TSX Composite index,Canada,14939.2001953125,0.002395423579192757
2019-01-14,^GSPTSE,S&P/TSX Composite index,Canada,14975.5,0.0024298358823044985
2019-01-15,^GSPTSE,S&P/TSX Composite index,Canada,15046.2998046875,0.004727708903709438
2019-01-16,^GSPTSE,S&P/TSX Composite index,Canada,15111.2998046875,0.004319998992692531
2019-01-17,^GSPTSE,S&P/TSX Composite index,Canada,15211.2001953125,0.006610972710237029
2019-01-18,^GSPTSE,S&P/TSX Composite index,Canada,15303.7998046875,0.0060875938904239035
2019-01-21,^GSPTSE,S&P/TSX Composite index,Canada,15354.2001953125,0.0032933252700784177
2019-01-22,^GSPTSE,S&P/TSX Composite index,Canada,15233.7998046875,-0.007841527991914399
2019-01-23,^GSPTSE,S&P/TSX Composite index,Canada,15208.2998046875,-0.0016739093546545014
2019-01-24,^GSPTSE,S&P/TSX Composite index,Canada,15280.7998046875,0.004767133797405343
2019-01-25,^GSPTSE,S&P/TSX Composite index,Canada,15366.099609375,0.0055821557626409835
2019-01-28,^GSPTSE,S&P/TSX Composite index,Canada,15378.599609375,0.0008134790426825855
2019-01-29,^GSPTSE,S&P/TSX Composite index,Canada,15463.099609375,0.005494648547094583
2019-01-30,^GSPTSE,S&P/TSX Composite index,Canada,15484.599609375,0.0013904068746324327
2019-01-31,^GSPTSE,S&P/TSX Composite index,Canada,15540.599609375,0.003616496481193776
2019-02-01,^GSPTSE,S&P/TSX Composite index,Canada,15506.2998046875,-0.002207109477732616
2019-02-04,^GSPTSE,S&P/TSX Composite index,Canada,15602.2998046875,0.006191032110122174
2019-02-05,^GSPTSE,S&P/TSX Composite index,Canada,15702.7001953125,0.006434973810388822
2019-02-06,^GSPTSE,S&P/TSX Composite index,Canada,15712.2998046875,0.0006113349459391237
2019-02-07,^GSPTSE,S&P/TSX Composite index,Canada,15703.400390625,-0.0005663979285734921
2019-02-08,^GSPTSE,S&P/TSX Composite index,Canada,15633.2998046875,-0.004464038628178235
2019-02-11,^GSPTSE,S&P/TSX Composite index,Canada,15568.900390625,-0.004119374339842885
2019-02-12,^GSPTSE,S&P/TSX Composite index,Canada,15642.099609375,0.004701630617026664
2019-02-13,^GSPTSE,S&P/TSX Composite index,Canada,15626.7001953125,-0.0009844851041141967
2019-02-14,^GSPTSE,S&P/TSX Composite index,Canada,15696.0,0.0044347049486677115
2019-02-15,^GSPTSE,S&P/TSX Composite index,Canada,15838.2001953125,0.009059645470979927
2019-02-19,^GSPTSE,S&P/TSX Composite index,Canada,15937.400390625,0.006263350260079292
2019-02-20,^GSPTSE,S&P/TSX Composite index,Canada,16031.2001953125,0.005885514725643581
2019-02-21,^GSPTSE,S&P/TSX Composite index,Canada,16000.900390625,-0.0018900521681688431
2019-02-22,^GSPTSE,S&P/TSX Composite index,Canada,16013.0,0.0007561830321805019
2019-02-25,^GSPTSE,S&P/TSX Composite index,Canada,16057.0,0.0027477674389557727
2019-02-26,^GSPTSE,S&P/TSX Composite index,Canada,16067.900390625,0.0006788559895996027
2019-02-27,^GSPTSE,S&P/TSX Composite index,Canada,16074.2998046875,0.00039827319730179056
2019-02-28,^GSPTSE,S&P/TSX Composite index,Canada,15999.0,-0.0046844842762943095
2019-03-01,^GSPTSE,S&P/TSX Composite index,Canada,16068.2998046875,0.004331508512250837
2019-03-04,^GSPTSE,S&P/TSX Composite index,Canada,16038.099609375,-0.0018794891606198627
