date,market,market_name,variable,value
2/9/2020,US-NY-501,NYC,online cooking classes,0
2/9/2020,US-NY-501,NYC,outdoor dining,3
2/9/2020,US-NY-501,NYC,places to eat,73
2/9/2020,US-NY-501,NYC,reservations,100
2/9/2020,US-NY-501,NYC,restaurants,100
2/9/2020,US-NY-501,NYC,restaurants near me,93
2/9/2020,US-NY-501,NYC,restaurants nearby,34
2/9/2020,US-NY-501,NYC,romantic restaurant,100
2/9/2020,US-NY-501,NYC,safe restaurants,15
2/9/2020,US-NY-501,NYC,shop small,16
2/9/2020,US-NY-501,NYC,shop small american express,0
2/9/2020,US-NY-501,NYC,takeout,29
2/9/2020,US-NY-501,NYC,takeout Tuesday,0
2/9/2020,US-NY-501,NYC,takeout restaurants,8
2/9/2020,US-NY-501,NYC,ubereats,44
2/9/2020,US-NY-501,NYC,wine delivery,4
2/9/2020,US-NY-501,NYC,winery near me,27
2/16/2020,US-NY-501,NYC,american express shop small,0
2/16/2020,US-NY-501,NYC,amex dining,43
2/16/2020,US-NY-501,NYC,amex shop small,0
2/16/2020,US-NY-501,NYC,bars near me,100
2/16/2020,US-NY-501,NYC,best appliances,66
2/16/2020,US-NY-501,NYC,best cookware,37
2/16/2020,US-NY-501,NYC,best restaurants,100
2/16/2020,US-NY-501,NYC,blue apron,42
2/16/2020,US-NY-501,NYC,breakfast near me,89
2/16/2020,US-NY-501,NYC,brewery near me,47
2/16/2020,US-NY-501,NYC,casual dining,68
2/16/2020,US-NY-501,NYC,coffee shops near me,13
2/16/2020,US-NY-501,NYC,delis near me,45
2/16/2020,US-NY-501,NYC,dining,50
2/16/2020,US-NY-501,NYC,dinner near me,51
2/16/2020,US-NY-501,NYC,door dash,23
2/16/2020,US-NY-501,NYC,doordash,26
2/16/2020,US-NY-501,NYC,drizly,13
2/16/2020,US-NY-501,NYC,fine dining,44
2/16/2020,US-NY-501,NYC,food delivery,41
2/16/2020,US-NY-501,NYC,food near me,71
2/16/2020,US-NY-501,NYC,grubhub,54
2/16/2020,US-NY-501,NYC,hellofresh,69
2/16/2020,US-NY-501,NYC,instacart,6
2/16/2020,US-NY-501,NYC,local dining,34
2/16/2020,US-NY-501,NYC,lunch near me,100
2/16/2020,US-NY-501,NYC,meal kits,55
2/16/2020,US-NY-501,NYC,meal subscription,0
2/16/2020,US-NY-501,NYC,online cooking classes,0
2/16/2020,US-NY-501,NYC,outdoor dining,4
2/16/2020,US-NY-501,NYC,places to eat,100
2/16/2020,US-NY-501,NYC,reservations,81
2/16/2020,US-NY-501,NYC,restaurants,96
2/16/2020,US-NY-501,NYC,restaurants near me,88
2/16/2020,US-NY-501,NYC,restaurants nearby,41
2/16/2020,US-NY-501,NYC,romantic restaurant,22
2/16/2020,US-NY-501,NYC,safe restaurants,0
2/16/2020,US-NY-501,NYC,shop small,66
2/16/2020,US-NY-501,NYC,shop small american express,0
2/16/2020,US-NY-501,NYC,takeout,22
2/16/2020,US-NY-501,NYC,takeout Tuesday,37
2/16/2020,US-NY-501,NYC,takeout restaurants,0
2/16/2020,US-NY-501,NYC,ubereats,44
2/16/2020,US-NY-501,NYC,wine delivery,6
2/16/2020,US-NY-501,NYC,winery near me,14
2/23/2020,US-NY-501,NYC,american express shop small,0
2/23/2020,US-NY-501,NYC,amex dining,0
2/23/2020,US-NY-501,NYC,amex shop small,0
2/23/2020,US-NY-501,NYC,bars near me,76
2/23/2020,US-NY-501,NYC,best appliances,46
2/23/2020,US-NY-501,NYC,best cookware,31
2/23/2020,US-NY-501,NYC,best restaurants,71
2/23/2020,US-NY-501,NYC,blue apron,21
2/23/2020,US-NY-501,NYC,breakfast near me,75
2/23/2020,US-NY-501,NYC,brewery near me,42
2/23/2020,US-NY-501,NYC,casual dining,22
2/23/2020,US-NY-501,NYC,coffee shops near me,51
2/23/2020,US-NY-501,NYC,delis near me,18
2/23/2020,US-NY-501,NYC,dining,39
2/23/2020,US-NY-501,NYC,dinner near me,49
2/23/2020,US-NY-501,NYC,door dash,29
2/23/2020,US-NY-501,NYC,doordash,30
2/23/2020,US-NY-501,NYC,drizly,10
2/23/2020,US-NY-501,NYC,fine dining,59
2/23/2020,US-NY-501,NYC,food delivery,30
2/23/2020,US-NY-501,NYC,food near me,68
2/23/2020,US-NY-501,NYC,grubhub,59
2/23/2020,US-NY-501,NYC,hellofresh,60
2/23/2020,US-NY-501,NYC,instacart,5
2/23/2020,US-NY-501,NYC,local dining,0
