state,market_name,month,uempl_rate,uempl_mom,uempl_mom_%
KY,Kentucky,2020-08-01,0.075,0.03,0.6666666666666667
KY,Kentucky,2020-09-01,0.055999999999999994,-0.019000000000000003,-0.2533333333333334
KY,Kentucky,2020-10-01,0.073,0.017,0.3035714285714286
KY,Kentucky,2020-11-01,0.057,-0.015999999999999993,-0.2191780821917807
KY,Kentucky,2020-12-01,0.06,0.0029999999999999957,0.05263157894736836
LA,Louisiana,2020-01-01,0.053,,
LA,Louisiana,2020-02-01,0.052000000000000005,-0.000999999999999994,-0.01886792452830177
LA,Louisiana,2020-03-01,0.067,0.015,0.2884615384615383
LA,Louisiana,2020-04-01,0.151,0.08399999999999999,1.2537313432835817
LA,Louisiana,2020-05-01,0.142,-0.009000000000000008,-0.0596026490066226
LA,Louisiana,2020-06-01,0.095,-0.046999999999999986,-0.33098591549295764
LA,Louisiana,2020-07-01,0.094,-0.0010000000000000009,-0.010526315789473717
LA,Louisiana,2020-08-01,0.077,-0.017,-0.18085106382978722
LA,Louisiana,2020-09-01,0.08,0.0030000000000000027,0.038961038961039085
LA,Louisiana,2020-10-01,0.094,0.013999999999999999,0.17500000000000004
LA,Louisiana,2020-11-01,0.085,-0.008999999999999994,-0.0957446808510638
LA,Louisiana,2020-12-01,0.07200000000000001,-0.012999999999999998,-0.15294117647058825
MA,Massachusetts,2020-01-01,0.027999999999999997,,
MA,Massachusetts,2020-02-01,0.027999999999999997,0.0,0.0
MA,Massachusetts,2020-03-01,0.027999999999999997,0.0,0.0
MA,Massachusetts,2020-04-01,0.162,0.134,4.7857142857142865
MA,Massachusetts,2020-05-01,0.166,0.0040000000000000036,0.024691358024691468
MA,Massachusetts,2020-06-01,0.177,0.010999999999999982,0.06626506024096379
MA,Massachusetts,2020-07-01,0.162,-0.014999999999999986,-0.08474576271186429
MA,Massachusetts,2020-08-01,0.114,-0.048,-0.2962962962962963
MA,Massachusetts,2020-09-01,0.098,-0.016,-0.14035087719298245
MA,Massachusetts,2020-10-01,0.07400000000000001,-0.023999999999999994,-0.2448979591836734
MA,Massachusetts,2020-11-01,0.067,-0.007000000000000006,-0.09459459459459463
MA,Massachusetts,2020-12-01,0.07400000000000001,0.007000000000000006,0.10447761194029859
MD,Maryland,2020-01-01,0.033,,
MD,Maryland,2020-02-01,0.033,0.0,0.0
MD,Maryland,2020-03-01,0.033,0.0,0.0
MD,Maryland,2020-04-01,0.10099999999999999,0.06799999999999999,2.06060606060606
MD,Maryland,2020-05-01,0.1,-0.000999999999999987,-0.009900990099009799
MD,Maryland,2020-06-01,0.083,-0.017,-0.17000000000000004
MD,Maryland,2020-07-01,0.078,-0.0050000000000000044,-0.06024096385542177
MD,Maryland,2020-08-01,0.07,-0.007999999999999993,-0.10256410256410253
MD,Maryland,2020-09-01,0.076,0.0059999999999999915,0.08571428571428563
MD,Maryland,2020-10-01,0.077,0.0010000000000000009,0.013157894736842035
MD,Maryland,2020-11-01,0.068,-0.008999999999999994,-0.11688311688311681
MD,Maryland,2020-12-01,0.063,-0.0050000000000000044,-0.07352941176470595
ME,Maine,2020-01-01,0.031,,
ME,Maine,2020-02-01,0.032,0.0010000000000000009,0.032258064516129004
ME,Maine,2020-03-01,0.03,-0.0020000000000000018,-0.0625
ME,Maine,2020-04-01,0.10400000000000001,0.07400000000000001,2.4666666666666672
ME,Maine,2020-05-01,0.094,-0.010000000000000009,-0.09615384615384626
ME,Maine,2020-06-01,0.067,-0.026999999999999996,-0.2872340425531914
ME,Maine,2020-07-01,0.099,0.032,0.4776119402985075
ME,Maine,2020-08-01,0.07,-0.028999999999999998,-0.29292929292929293
ME,Maine,2020-09-01,0.061,-0.009000000000000008,-0.12857142857142867
ME,Maine,2020-10-01,0.054000000000000006,-0.006999999999999992,-0.11475409836065564
ME,Maine,2020-11-01,0.049,-0.0050000000000000044,-0.09259259259259267
ME,Maine,2020-12-01,0.049,0.0,0.0
MI,Michigan,2020-01-01,0.038,,
MI,Michigan,2020-02-01,0.036000000000000004,-0.001999999999999995,-0.05263157894736825
MI,Michigan,2020-03-01,0.043,0.006999999999999992,0.1944444444444442
MI,Michigan,2020-04-01,0.24,0.197,4.5813953488372094
MI,Michigan,2020-05-01,0.213,-0.026999999999999996,-0.11249999999999993
MI,Michigan,2020-06-01,0.149,-0.064,-0.3004694835680751
MI,Michigan,2020-07-01,0.087,-0.062,-0.41610738255033564
MI,Michigan,2020-08-01,0.087,0.0,0.0
MI,Michigan,2020-09-01,0.086,-0.0010000000000000009,-0.011494252873563204
MI,Michigan,2020-10-01,0.061,-0.024999999999999994,-0.2906976744186046
MI,Michigan,2020-11-01,0.07,0.009000000000000008,0.14754098360655754
MI,Michigan,2020-12-01,0.075,0.0049999999999999906,0.0714285714285714
MN,Minnesota,2020-01-01,0.032,,
MN,Minnesota,2020-02-01,0.031,-0.0010000000000000009,-0.03125
MN,Minnesota,2020-03-01,0.028999999999999998,-0.0020000000000000018,-0.06451612903225812
MN,Minnesota,2020-04-01,0.087,0.057999999999999996,2.0
MN,Minnesota,2020-05-01,0.099,0.01200000000000001,0.13793103448275867
MN,Minnesota,2020-06-01,0.086,-0.013000000000000012,-0.13131313131313138
MN,Minnesota,2020-07-01,0.076,-0.009999999999999995,-0.11627906976744184
MN,Minnesota,2020-08-01,0.07400000000000001,-0.001999999999999988,-0.02631578947368407
MN,Minnesota,2020-09-01,0.059000000000000004,-0.015000000000000006,-0.20270270270270274
MN,Minnesota,2020-10-01,0.046,-0.013000000000000005,-0.22033898305084754
MN,Minnesota,2020-11-01,0.045,-0.0010000000000000009,-0.021739130434782594
MN,Minnesota,2020-12-01,0.044000000000000004,-0.000999999999999994,-0.022222222222222143
MO,Missouri,2020-01-01,0.035,,
MO,Missouri,2020-02-01,0.035,0.0,0.0
MO,Missouri,2020-03-01,0.039,0.003999999999999997,0.1142857142857141
MO,Missouri,2020-04-01,0.102,0.063,1.6153846153846154
MO,Missouri,2020-05-01,0.10099999999999999,-0.0010000000000000009,-0.009803921568627416
MO,Missouri,2020-06-01,0.078,-0.022999999999999993,-0.2277227722772277
MO,Missouri,2020-07-01,0.069,-0.008999999999999994,-0.11538461538461531
MO,Missouri,2020-08-01,0.07,0.0010000000000000009,0.01449275362318847
MO,Missouri,2020-09-01,0.048,-0.022000000000000006,-0.3142857142857144
MO,Missouri,2020-10-01,0.046,-0.0020000000000000018,-0.04166666666666674
MO,Missouri,2020-11-01,0.045,-0.0010000000000000009,-0.021739130434782594
MO,Missouri,2020-12-01,0.057999999999999996,0.012999999999999998,0.28888888888888875
MS,Mississippi,2020-01-01,0.055,,
MS,Mississippi,2020-02-01,0.054000000000000006,-0.000999999999999994,-0.018181818181818077
MS,Mississippi,2020-03-01,0.051,-0.0030000000000000096,-0.05555555555555569
MS,Mississippi,2020-04-01,0.163,0.11200000000000002,2.196078431372549
MS,Mississippi,2020-05-01,0.105,-0.05800000000000001,-0.35582822085889576
